PALABRA,FONEMA,TRADUCCIÓN
comedy,ˈkɒmedɪ,comedia
comfort,ˈkʌmfət,"Comodidad, consolar"
comfortable,kʌmfətəbl,cómodo
coming,ˈkʌmɪŋ,próximo
command,kəˈmɑːnd(kemánd),"Comando, comandar"
commander,kəˈmɑːndəʳ,comandante
comment,ˈkɒment,"Comentario, comentar"
commercial,kəˈm3ːʃəl,comercial
commission,kəˈmɪʃən,"Comisión, comisionar"
commissioner,kəˈmɪʃənəʳ,"Inspector, comisionado"
commit,kəˈmɪt,"Cometer, perpetrar"
commitment,kəˈmɪtɪ,comité
committee,kəˈmɪtɪ,"Comité, comisión"
commodity,kəˈmɒdɪtɪ,"Producto, materia prima"
common,kɒmən,común
commonly,ˈkɒmənlɪ,comúnmente
communicate,kəˈmjuːnɪkeɪt,comunicar
communicatio n,kəˌmjuːnɪˈkeɪʃən,comunicación
community,kəˈmjuːnɪtɪ,Comunidad
companion,kəmˈpænjən,compañero
company,kʌmpənɪ,"Compañía, empresa"
comparable,ˈkɒmpərəbl,comparable
compare,kəmˈpɛəʳ,comparar
compel,kəmˈpel,forzar
compelling,kəmˈpelɪŋ,"Convincente, irresistible, cautivador"
compensation,kɒmpənˈseɪʃən,Compensación
compete,kəmˈpiːt,competir
competition,kɒmpɪˈtɪʃən,competencia
competitive,kəmˈpetɪtɪv,competitivo
competitor,kəmˈpetətər,competidor
complain,kəmˈpleɪn,reclamar
complaint,kəmˈpleɪnt,"Denuncia, demanda, queja"
complete,kəmˈpliːt,"Cavar, finalizar"
completely,kəmˈpliːt-lɪ,"Por completo, completamente"
complex,ˈkɒmpleks,complicado
complexity,kəmˈpleksɪtɪ,complejidad
compliance,kəmˈplaɪəns,cumplimiento
complicated,ˈkɒmplɪkeɪtɪd,complicado
comply,kəmˈplaɪ,"Cumplir, obedecer"
component,kəmˈpəʊnənt,componente
compose,kəmˈpəʊz,componer
composition,kɒmpəˈzɪʃən,"Composición, redacción"
compound,ˈkɒmpaʊnd,compuesto
comprehensive,kɒmpriˈhensɪv,completo
comprise,kəmˈprīz,comprender
compromise,ˈkɒmprəmaɪz,"Mutuo acuerdo, aceptar"
computer,kəmˈpjuːtəʳ,computador
conceive,kənˈsiːv,concebir
concentrate,ˈkɒnsəntreɪt,concentrarse
concentration,kɒnsənˈtreɪʃən,concentración
concept,ˈkɒnsept,"Concepto, idea"
conception,kənˈsepʃən,concepción
concern,kənˈs3ːn,"Concernir, preocupar"
concerned,kənˈs3ːnd,preocupado
concerning,kənˈs3ːnɪŋ,"Relativo a, preocupación"
concert,ˈkɒnsət,concierto
conclude,kənˈkluːd,concluir
conclusion,kənˈkluːʒən,conclusión
concrete,ˈkɒnkriːt,concreto
condemn,kənˈdem,condenar
condition,kənˈdɪʃən,condición
conduct,ˈkɒndʌkt,"Conducir, conducta"
conference,kanfərəns,conferencia
confess,kənˈfes,confesar
confession,kənˈfeʃən,confesión
confidence,ˈkɒnfɪdəns,"Confianza, seguridad en sí mismo"
confident,ˈkɒnfɪdənt,"Seguro, confiado"
confirm,kənˈf3ːm,confirmar
conflict,kənˈflɪkt,conflicto
confront,kənˈfrʌnt,confrontar
confrontation,kɒnfrʌnˈteɪʃnn,confrontación
confuse,kənˈfjuːz,confundir
confusion,kənˈfjuːʒən,confusión
Congress,ˈkɒŋɡres,congreso
congressional,kənˈɡreʃnnəl,"Distrito electoral, del congreso"
connect,kəˈnekt,conectar
connection,kəˈnekʃən,conexión
conscience,ˈkɒnʃəns,conciencia
conscious,ˈkɒnʃəs,consciente
consciousness,ˈkɒn-ʃəs-nes,conciencia
consecutive,kənˈsekjʊtɪv,consecutivo
consensus,kənˈsensəs,consenso
consent,kənˈsent,consentir
consequence,ˈkɒnsɪkwəns,consecuencia
consequently,ˈkɒnsɪkwəntlɪ,"Consecuentemente, entonces"
conservation,kɒnsəˈveɪʃən,conservación
conservative,kənˈs3ːvətɪv,conservador
consider,kənˈsɪdəʳ,considerar
considerable,kənˈsɪdərəbl,considerable
considerably,kənˈsɪdərəblɪ,considerablemente
consideration,kənˌsɪdəˈreɪʃən,consideración
consistently,kənˈsɪstəntlɪ,consistentemente
conspiracy,kónspiraci,conspiración
constant,kɒnstent,constante
constantly,ˈkɒnstəntlɪ,"Constantemente,
continuamente"
constitute,ˈkɒnstɪtjuːt,constituir
constitution,kɒnstɪˈtjuːʃən,constitución
constitutional,kɒnstɪˈtjuːʃənl,constitucional
cooperative,kəʊˈɒpərətɪv,cooperativa
coordinate,ˌkəʊˈɔːdɪneɪt,coordinar
constraint,kənˈstreɪnt,"Restricción, constreñimiento"
construct,ˈkɒnstrʌkt,construir
construction,kənˈstrʌkʃən,Construcción
consult,kənˈsʌlt,consultar
consultant,kənˈsʌltənt,consultora
consume,kənˈsjuːm,consumir
consumer,kənˈsjuːməʳ,"Consumidor, cliente"
consumption,kənˈsʌmpʃən,consumo
contact,ˈkɒntækt,contacto
contain,kən-teɪn,contener
container,kənˈteɪnəʳ,"Contenedor, conteiner"
contemplate,kontempleit,"Contemplar, meditar"
contemporary,kənˈtempərərɪ,contemporáneo
contend,kənˈtend,competir
content,ˈkɒntent,contento
contest,kənˈtest,"Concurso, contienda"
context,ˈkɒntekst,contexto
continent,ˈkɒntɪnənt,continente
continue,kəntɪnjuː (kenti-njú),Continuar
continued,kənˈtɪnjuːd,continuo
continuing,kənˈtɪnjʊɪŋ,"En curso, en progreso,
crónico"
continuous,kənˈtɪnjʊəs,continuo
contract,ˈkɒntrækt,contrato
contractor,ənˈtraktər,contratista
contrast,kənˈtrɑːst,contraste
contribute,kənˈtrɪbjuːt,contribuir
contribution,kɒntrɪˈbjuːʃən,contribución
contributor,kənˈtrɪbjʊtəʳ,"Colaborador, donante"
control,kən-trəʊl,control
controversial,kɒntrəˈv3ːʃəl,controvertido
controversy,kɒnˈtrɒvəsɪ,controversia
convenience,kənˈviːniəns,"Conveniencia, ventaja"
convention,kənˈvenʃən,"Convención, convenio"
conventional,kənˈvenʃənl,convencional
conversation,kɒnvəˈseɪʃən,conversación
conversion,kənˈvərZHən,conversión
convert,kənˈvɜːt,convertir
convey,kənˈveɪ,"Expresar, verbalizar"
convict,kənˈvɪct,"Convicto, condenar"
conviction,kənˈvɪkʃən,"Convicción, condena (de un crimen)"
convince,kənˈvɪns,convencer
convinced,kənˈvɪnst,convencido
cook,kʊk,cocinar
cookie,ˈkʊkɪ,galleta
cooking,ˈkʊkɪŋ,cocina
cool,kuːl,fresco
cooperate,kəʊˈɒpəreɪt(kuopereit),cooperar
cooperation,kəʊˌɒpəˈreɪʃən,cooperación
coordinator,kəʊˈɔːdɪneɪtəʳ,coordinador
cope,kəʊp,"Salir adelante, superar"
copy,ˈkɒpɪ,copiar
cord,kɔːd,"Cuerda, soga"
core,kɔːʳ,"Corazón, centro"
corn,kɔːn,maíz
corner,ˈkɔːnəʳ,esquina
corporate,ˈkɔːpərɪt,"Corporativo, colectivo"
corporation,kɔːpəˈreɪʃən,corporación
correct,kəˈrekt,correcto
correctly,kəˈrektlɪ,correctamente
correlation,kɒrɪˈleɪʃən,correlación
correspondent,kɒrɪsˈpɒndənt,corresponsal
corridor,ˈkɒrɪdɔːʳ,corredor
corruption,kəˈrʌpʃən,corrupción
cost,kɒst,"Costar, valer"
costly,ˈkɒstlɪ,costoso
costume,ˈkɒstjuːm,"Vestuario, traje"
cottage,ˈkɒtɪdʒ,Casita de campo
cotton,ˈkɒtn,algodón
couch,kaʊtʃ,sofá
could,kʊd,Podría (Verbo auxiliar)
council,ˈkaʊnsl,consejo
counsel,ˈkaʊnsəl,Abogado; consejo
counseling,ˈkouns(ə)liNG,asesoramiento
counselor,ˈkouns(ə)lər,"Consejero, abogado"
count,kaʊnt,"Contar, total"
counter,ˈkaʊntəʳ,mostrador
counterpart,ˈkaʊntəpɑːt,"Equivalente, homólogo (colega)"
country,kʌntrɪ,"País, campo"
county,ˈkaʊntɪ,condado
coup,kuː (sin p),"Golpe de estado, golpe
maestro"
couple,kʌpl,"Pareja, par"
courage,ˈkʌrɪdʒ(kouridg),"Coraje, valentía"
course,kɔːs,"Curso, rumbo"
court,kɔːt,"Corte, tribunal; cancha, patio"
courtroom,kɔːtrum,Sala de audiencias (tribunal)
cousin,ˈkəzən(kozn),primo
cover,ˈkʌvəʳ,cubrir
coverage,ˈkʌvərɪdʒ,cobertura
cow,kaʊ,vaca
crack,kræk,"Grieta, agrietarse"
craft,krɑːft,"Arte, oficio"
crash,kræʃ,"Estrellarse, chocar"
crawl,krɔːl,"Gatear, crol"
crazy,ˈkreɪzɪ,loco
cream,kriːm,crema
create,kriːˈeɪt,Crear
creation,kriːˈeɪʃən,creación
creative,kriːˈeɪtɪv,creativo
creativity,kriːeɪˈtɪvɪtɪ,creatividad
dancer,ˈdɑːnsəʳ,bailarín
dancing,ˈdɑːnsɪŋ,baile
danger,ˈdeɪndʒəʳ,peligro
creature,ˈkriːtʃəʳ,criatura
credibility,krediˈbɪlɪtɪ,credibilidad
credit,ˈkredɪt,"Crédito, abono"
crew,kruː  (no pronc. la e),tripulación
crime,kraɪm,"Crimen, delito"
criminal,ˈkrɪmɪnl,criminal
crisis,ˈkraɪsiːz,crisis
criteria,kraɪˈtɪərɪə,criterios
critic,ˈkrɪtɪk,crítico
critical,ˈkrɪtɪkəl,crítico
criticism,ˈkrɪtɪsɪzəm,critica
criticize,ˈkrɪtɪsaɪz,criticar
crop,krɒp,cultivo
cross,krɒs,cruzar
crowd,kraʊd,multitud
crowded,ˈkraʊdɪd,"Atestado, lleno de gente"
crucial,ˈkruːʃəl,crucial
cruel,ˈkrʊəl,cruel
cruise,kruːz,crucero
crush,krʌʃ,"Apretar, machucar"
cry,kraɪ,llorar
crystal,ˈkrɪstl,cristal
Cuban,,cubano
cue,kyú,"Apunte, taco de billar"
cultural,kʌltʃərəl,cultural
culture,kʌltʃəʳ,cultura
cup,kʌp,taza
cure,kjʊəʳ,"Tratamiento, curar"
curiosity,kjʊərɪˈɒsɪtɪ,curiosidad
curious,ˈkjʊərɪəs,curioso
currency,ˈkʌrənsɪ,"Actual, moneda, circulación"
current,kʌrənt,Actual; corriente eléctrica
currently,ˈkʌrəntlɪ,"Actualmente, en este momento"
curriculum,kəˈrikyələm,currículo
curtain,ˈk3ːtn,cortina
curve,k3ːv,curva
custody,ˈkʌstədɪ,"Custodia, detención"
custom,ˈkʌstəm,"Costumbre, personalizada"
customer,ˈkʌstəməʳ(kastumer),cliente
cut,kʌt,cortar
cute,kjuːt,lindo
dad,dæd,papá
daily,ˈdeɪlɪ,"Diario, cotidiano, diariamente"
dam,dam,"Presa, dique"
damage,ˈdæmɪdʒ,daño
damn,dæm,"Maldita, maldición"
dance,dɑːns,bailar
dangerous,ˈdeɪndʒrəs(dein-yeres),peligroso
dare,dɛəʳ,atreverse
dark,Dark,oscuro
darkness,ˈdɑːknes,oscuridad
data,deɪtə,"Información, datos"
database,ˈdeɪtəbeɪs,Base de datos
date,Deit,fecha
daughter,dɔːtəʳ,hija
dawn,dɔːn,amanecer
day,deɪ,día
dead,Ded,muerto
deadline,ˈdedlaɪn,Fecha límite
deadly,ˈdedlɪ,mortífero
deal,diːl,"Acuerdo, trato"
dealer,ˈdiːləʳ,"Comerciante, distribuidor"
dear,dier,"Estimado, querido"
death,deθ,muerte
debate,dɪˈbeɪt,"Debate, debatir"
debris,débri,"Restos, escombros"
debt,Det,deuda
debut,devyu,estreno
decade,dekeid,década
decent,ˈdiːsənt,decente
decide,dɪˈsaɪd,Decidir
decision,dɪˈsɪʒən,decisión
deck,Dek,"adorno, piso, cubierta"
declare,dɪˈklɛəʳ,declarar
decline,dɪˈklaɪn,rechazar
decorate,ˈdekəreɪt,decorar
decrease,ˈdekəreɪt,"Reducir, disminuir"
dedicate,dedɪkeɪt,dedicar
deem,diːm,estimar
deep,diːp,"Profundo, hondo"
deeply,ˈdiːplɪ,"Profundamente, a fondo"
deer,dɪəʳ,"Ciervo, venado"
defeat,deˈfiːt,"Derrota; derrotar, vencer"
defend,deˈfend,defender
defendant,deˈfendənt,"Acusado, demandado"
defender,dɪˈfendəʳ,defensor
defense,dɪˈfens,defensa
defensive,dɪˈfensɪv,defensivo
deficit,ˈdefɪsɪt,déficit
define,deˈfaɪn,definir
definitely,ˈdefɪnɪtlɪ,decididamente
definition,defɪˈnɪʃən,definición
degree,degri,"Grado, diploma"
delay,dɪˈleɪ,"Retraso, demora; retrasar"
deliberately,dɪˈlɪbərɪtlɪ,deliberadamente
delicate,ˈdelɪkɪt,delicado
delight,deˈlaɪt,"Delicia, deleitar"
deliver,diliver,"Repartir, entregar"
delivery,deˈlɪvərɪ,entrega
develop,diˈveləp,desarrollar
developer,diˈveləpəʳ,desarrollador
developing,diˈveləpɪŋ,En desarrollo
development,diˈveləpmənt,"Desarrollo, progreso"
developmental,dɪˌveləpˈmentl,desarrollo
demand,dɪˈmɑːnd,"Demandar, demanda"
democracy,deˈmɒkrəsi,democracia
democratic,deməˈkrætɪk,democrático
demographic,deməˈgrafik,demográfico
demonstrate,demənstreɪt,demostrar
"demonstratio
n",demənˈstreɪʃnn,demostración
denial,dɪˈnaɪəl,negación
dense,Dens,denso
density,ˈdensɪtɪ,densidad
deny,diˈnaɪ,"Negar, rechazar"
depart,depárt,"Salir, marcharse"
department,dɪˈpɑːtmənt,departamento
departure,dɪˈpɑːtʃəʳ,"Salida, partida"
depend,dɪˈpend,depender
dependent,dɪˈpendənt,Dependiente de
depending,dɪˈpendɪŋ,dependiendo
depict,Depíct,representar
deploy,dɪˈplɔɪ,"Desplegar, despliegue"
deposit,dɪˈpɒzɪt,depósito
depressed,dɪˈprest,deprimido
depression,dɪˈpreʃən,depresión
depth,depθ,profundidad
deputy,ˈdepjʊtɪ,sustituto
derive,deˈraɪv,derivar
descend,deˈsend,descender
describe,desˈkraɪb,describir
deserve,dɪˈz3ːv,merecer
design,dɪˈzaɪn,Diseñar
designer,dɪˈzaɪnəʳ,diseñador
desire,dɪˈzaɪəʳ,deseo
desk,Desk,escritorio
desperate,despəret,desesperado
desperately,ˈdespərɪtlɪ,"Desesperadamente,
urgentemente"
despite,dɪspaɪ´t,"A pesar de, pese a"
dessert,dɪˈz3ːt,postre
destination,destɪˈneɪʃən,"Destino (suerte); objetivo, meta"
destroy,dɪsˈtrɔɪ,destruir
destruction,dɪsˈtrʌkʃən,destrucción
detail,diːteɪl,detalle
detailed,ˈdiːteɪld,"Detallado, minucioso"
detect,dɪˈtekt,detectar
detective,dɪˈtektɪv,detective
determination,dɪˌt3ːmɪˈneɪʃən,determinación
determine,dɪˈt3ːmɪn,determinar
devastating,ˈdevəsteɪtɪŋ,devastador
device,devais,"Artefacto, dispositivo"
devil,ˈdevl,diablo
devote,dɪˈvəʊt,dedicado
diabetes,daibitis,diabetes
diagnose,dainos,diagnosticar
diagnosis,daignoses,diagnóstico
dialogue,dailog,diálogo
diamond,daimond,diamante
diary,daɪərɪ,diario
dictate,dikteit,dictar
die,daɪ,morir
diet,ˈdaɪət,dieta
differ,ˈdɪfəʳ,discrepar
difference,dɪfrəns,diferencia
different,dɪfrənt,Diferente
differently,ˈdɪfrəntlɪ,diferentemente
difficult,dɪfɪkolt,difícil
difficulty,ˈdɪfɪkəltɪ,dificultad
dig,dig,cavar
digital,dɪdʒɪtəl,digital
dimension,dɪˈmenʃən,dimensión
diminish,dɪˈmɪnɪʃ,disminuir
dining,dainíng,comedor
dinner,Diner,cena
dip,dip,"Inmersión, baño"
diplomat,diploˈmaːt,diplomático
diplomatic,dɪpləˈmætɪk,diplomático
direct,dairékt,directo
direction,dɪˈrekʃən,dirección
directly,dɪˈrektlɪ,directamente
director,dɪˈrektəʳ,director
dirt,d3ːt,suciedad
dirty,ˈd3ːtɪ,sucio
disability,dɪsəˈbɪlɪtɪ,discapacidad
disabled,dɪsˈeɪbld,discapacitado
disagree,dɪsəˈgriː,"Diferir, no estar de acuerdo"
disappear,desəˈpɪəʳ,desaparecer
disappointed,dɪsəˈpɔɪntɪd,decepcionado
disappointment,dɪsəˈpɔɪntmənt,desilusión
disaster,dɪˈzɑːstəʳ,desastre
disc,disk,disco
discipline,ˈdeseplen,disciplina
disclose,dɪsˈkləʊz,"Revelar, divulgar"
discount,ˈdɪskaʊnt,descuento
discourage,dɪsˈkʌrɪdʒ,"Disuadir, desalentar"
discourse,discorse,discurso
discover,dɪsˈkʌvəʳ,descubrir
discrimination,dɪsˌkrɪmɪˈneɪʃən,discriminación
discuss,dɪsˈkʌs,"Discutir, tratar"
discussion,dɪsˈkʌʃən,discusión
disease,dɪziːz,"Dolencia, enfermedad"
double,ˈdʌbl,"Doble, cama matrimonial"
doubt,daut,"Duda, dudar"
dough,dəʊ,"Masa, pasta"
down,daʊn,"Abajo, bajarse"
downtown,ˈdaʊnˈtaʊn,"Céntrico, centro"
dozen,ˈdʌzn,docena
dish,dɪʃ,"Plato, fuente (receptáculo)"
disk,disk,"Disco, vertebra"
dismiss,dɪsˈmes,"Despedir a, echar a(empleo), descartar"
disorder,dɪsˈɔːdəʳ,desorden
display,dɪsˈpleɪ,"Demostrar, exhibir; monitor"
dispute,dɪsˈpjuːt,disputa
dissolve,dɪˈzɒlv,disolverse
distance,ˈdɪstəns(dístans),distancia
distant,ˈdɪstənt,distante
distinct,dɪsˈtɪŋkt,distinto
distinction,dɪsˈtɪŋkʃən,distinción
distinctive,dɪsˈtɪŋktɪv,distintivo
distinguish,dɪsˈtɪŋgwɪʃ,distinguir
distract,dɪsˈtrækt,distraer
distribute,dɪsˈtrɪbjuːt,distribuir
distribution,dɪstrɪˈbjuːʃən,distribución
district,ˈdɪstrɪkt,Barrio
disturb,dɪsˈt3ːb,"Perturbar, interrumpir"
disturbing,dɪsˈt3ːbɪŋ,"Perturbador, inquietante"
diverse,daɪˈv3ːs,diverso
diversity,daɪˈv3ːsɪtɪ,diversidad
divide,dɪˈvaɪd,dividir
divine,dɪˈvaɪn,divino
division,dɪˈvɪʒən,división
divorce,dɪˈvɔːs,divorcio
DNA,Ei-di-en,ADN
do,duː,hacer
dock,dock,"Dársena, muelle"
doctor,dɒktəʳ,doctor
doctrine,dóktrine,doctrine
document,ˈdɒkjʊmənt,documento
documentary,ˈdɒkjʊməntərē,documental
dog,dog,perro
doll,dɒl,muñeca
domain,dəʊˈmeɪn,"Dominio, campo (área de interés)"
domestic,dəˈmestɪk,"Doméstico, casero"
dominant,ˈdɒmɪnənt,dominante
dominate,ˈdɒmɪneɪt,dominar
donation,dəʊˈneɪʃən,donación
donor,ˈdəʊnəʳ,donante
door,dɔːʳ,Puerta
doorway,ˈdɔːweɪ,entrada
dose,dəʊs,"Dosis, cucharada"
dot,Dot,Punto (símbolo)
draft,drɑːft,"Boceto, borrador"
drag,dræɡ,arrastrar
drain,Drein,"Drenaje, drenar, desagüe"
drama,Drama,"Teatro, drama"
dramatic,drəˈmætɪk,dramático
dramaticall y,drəˈmætɪkəlɪ,De forma dramática
draw,drɔː,dibujar
drawer,drɔː(r)ə,"Cajón, gaveta; dibujante"
drawing,ˈdrɔːɪŋ,dibujo
dream,driːm,"Soñar, sueño"
dress,dres,"Vestido; formal, gala (hombre)"
dried,draid,deshidratada
drift,Drift,"Deriva, Ir a la deriva"
drill,Dril,taladro
drink,drɪŋk,"Beber, bebida"
drinking,ˈdrɪŋkɪŋ,"Bebida, beber"
drive,Draiv,"Conducir, manejar"
driver,ˈdraɪvəʳ,conductor
driveway,ˈdraɪvweɪ,"Acceso (auto), entrada para el auto"
driving,ˈdraɪvɪŋ,"Manejar, conducir"
drop,Drop,"Caerse, dejarse caer; gota"
drown,draʊn,ahogarse
drug,drʌ>g,"Medicamento, droga"
drunk,drʌŋk,borracho
dry,Dari,"Seco, secar"
duck,dʌk,"Pato; agacharse, esquivar"
due,djuː,"Oportuno, conveniente,
apropiado, pagadero"
dumb,dʌm,"Tonto, estúpido"
dump,dʌmp,basural
during,djʊərɪŋ,Durante
dust,dʌst,"Polvo, limpiar"
Dutch,dʌtʃ,holandés
duty,ˈdjuːtɪ,deber
dying,ˈdaɪɪŋ,morirse
dynamic,daɪˈnæmɪk,"Dinámico, enérgico"
each,iːtʃ,"Cada, cada uno"
eager,ˈiːgəʳ,entusiasta
ear,iəʳ,oreja
early,3ːlɪ(erli),temprano
earn,3ːn,ganar
earnings,ˈərniNGz,ingresos
earth,3ːrθ,"Tierra, suelo"
earthquake,ˈ3ːθkweɪk,terremoto
ease,iːz,facilidad
easily,ˈiːzɪlɪ,fácilmente
east,iːst,este
eastern,ˈiːstən,"Oriental, del este"
easy,ˈiːzɪ,fácil
eat,iːt,comer
eating,iːtng,"Comida, comiendo"
echo,ekəʊ(ekou),eco
eleven,elévn,11
eligible,ˈelɪdʒəbl,idóneo
eliminate,eˈlɪmɪneɪt,eliminar
elite,e´lit,élite
else,els,otro
elsewhere,ˈelsˈwɛəʳ,"En otro lugar, en otro sitio"
e-mail,i-meil,Correo electrónico
ecological,iːkəʊˈlɒdʒɪkəl,ecológico
economic,iːkəˈnɒmɪk,económico
"economicall
y",iːkəˈnɒmɪkli,económicamente
economics,iːkəˈnɒmɪks,economía
economist,iːkəˈnɒmɪst,economista
economy,ɪˈkɒnəmɪ,economía
ecosystem,iːkəʊsistem,ecosistema
edge,edʒ,"Ventaja, borde"
edit,édit,editar
edition,édɪʃən,edición
editor,ˈedɪtə,editor
educate,ɪˈdɪʃən,educar
education,edjʊˈkeɪʃən,Educación
educational,edjʊˈkeɪʃənl,educativo
educator,ˈedjʊkeɪtəʳ,educador
effect,ɪˈfekt,efecto
effective,ɪˈfektɪv,eficaz
effectively,ɪˈfektɪvli,eficazmente
effectivenes s,ɪˈfektɪvnɪs,eficacia
efficiency,eˈfɪʃənsɪ,eficiencia
efficient,eˈfɪʃənt,eficiente
effort,efət,esfuerzo
egg,Eg,huevo
ego,Igou,ego
eight,eɪt,8
eighth,eɪtθ,octavo
either,iðəʳ,"Ya sea, cualquiera"
elaborate,eˈlæbəreɪt,"Elaborado, elaborado, complejo"
elbow,ˈelbəʊ,codo
elder,ˈeldər,anciano
elderly,ˈeldərli,ancianos
elect,ɪˈlekt,electo
election,ɪˈlekʃən,elección
electric,iˈlektrik,eléctrico
electrical,electrical,eléctrico
electricity,ɪˌlekˈtrɪsɪti,electricidad
electronic,ilektronic,electrónica
electronics,ilektronics,electrónica
elegant,eləgənt,elegante
element,ˈelɪmənt,elemento
elementary,eləˈment(ə)rē,"Primaria(nivel), elemental, rudimentario"
elephant,ˈeləfənt,elefante
elevator,ˈeleveɪtər,ascensor
embarrasse d,emˈbærəst,avergonzado
embrace,ɪmˈbreɪs,abrazo
emerge,eˈm3ːdʒ,emerger
emergency,ɪˈm3ːdʒənsɪ,emergencia
emerging,ɪˈm3ːdʒɪŋ,emergente
emission,ɪˈmɪʃən,emisión
emotion,ɪˈməʊʃən,emoción
emotional,ɪˈməʊʃənl,emotivo
emotionally,ɪˈməʊʃnəlɪ,emocionalmente
emphasis,ˈemfəsiːz,énfasis
emphasize,ˈemfəsaɪz,enfatizar
empire,ˈempaɪəʳ,imperio
employ,emˈplɔɪ,emplear
employee,emplɔɪ-iː,empleado
employer,emˈplɔɪəʳ,empleador
employment,emˈplɔɪmənt,"Empleo, ocupación"
empty,ˈemptɪ,vacío
enact,ɪˈnækt,"Promulgar, representar"
encounter,enˈkaʊntəʳ,"Encuentro, encontrar"
encourage,ɪnˈkʌrɪdʒ,animar
encouraging,enˈkʌrɪdʒɪŋ,alentador
end,end,"Final, fin"
endless,énles,"Eterno, interminable"
endorse,enˈdɔːs,"Respaldar, promocionar"
endure,ɪnˈdjʊəʳ,"Soportar, durar, aguantar"
enemy,enemi,enemigo
energy,enədʒɪ,energía
enforce,enˈfɔːs,"Hacer cumplir, ejecutar"
enforcement,enˈfɔːsmənt,"Ejecución, aplicación"
engage,enˈgeɪdʒ,"Enganchar, Engranar, participar"
engagement,enˈgeɪdʒmənt,"Compromiso (amoroso), cita
(formal)"
engine,ˈendʒɪn,motor
engineer,endʒɪˈnɪəʳ,ingeniero
engineering,endʒɪˈnɪərɪŋ,ingeniería
English,ˈɪŋglɪʃ,inglés
enhance,ɪnˈhɑːns,mejorar
enjoy,enjoi,disfrutar
enormous,ɪˈnɔːməs,enorme
enough,enʌf,suficiente
enroll,enrol,"Enrolarse, inscribirse"
ensure,enˈʃʊəʳ,garantizar
enter,entəʳ,entrar
enterprise,ˈentəpraɪz,"Empresa, iniciativa"
entertainment,entəˈteɪnmənt,entretenimiento
enthusiasm,ɪnˈθuːzɪæzəm,entusiasmo
entire,intair,"Todo, entero"
entirely,ɪnˈtaɪəlɪ,"Completamente, entero"
entitle,ɪnˈtaɪtl,autorizar
everyone,evrɪwʌn,"Todo el mundo, todos, cada uno"
everything,evrɪθɪŋ,todo
everywhere,ˈevrɪwɛəʳ,En todas partes
evidence,evɪdəns,evidencia
evident,evɪdənt,evidente
entity,ˈentiti,entidad
entrance,entrəns,entrada
entrepreneur,ontreprener,empresario
entry,éntri,Acceso (permiso)
envelope,ˈenvələʊp,envolvente
environment,ɪnˈvaɪərənmənt,Medio ambiente
environmenta l,ɪnˌvaɪərənˈmentl,ambiental
envision,enˈviZHən,"Imaginar, visualizar"
epidemic,epɪˈdemɪk,epidemia
episode,ˈepɪsəʊd,episodio
equal,ˈiːkwəl,igual
equality,ɪˈkwɒlɪtɪ,igualdad
equally,ˈiːkwəlɪ,igualmente
equation,eˈkweɪʒnn,ecuación
equip,Ékwip,equipar
equipment,ɪˈkwɪpmənt,"Equipo, equipamiento"
equity,ˈekwɪtɪ,"Acciones, equidad"
equivalent,ɪˈkwɪvələnt,equivalente
era,ˈɪərə,"Época, era"
escape,esˈkeɪp,"Escape, escapar"
especially,esˈpeʃəlɪ,"Especialmente;
excepcionalmente"
essay,eˈseɪ,ensayo
essence,ˈesəns,esencia
essential,ɪˈsenʃəl,esencial
essentially,ɪˈsenʃəli,"En esencia, fundamentalmente"
establish,ɪsˈtæblɪʃ,"Fundar, establecer"
establishmen t,ɪsˈtæblɪʃmənt,Establecimiento; creación
estate,esˈteɪt,"Finca, hacienda"
estimate,ˈestɪmeɪt,"Estimación, valorar"
estimated,ˈestɪmeɪtded,"Estimado, aproximado"
etc,etcetrə,etc.
ethical,ˈeθɪkəl,Ético
ethics,ˈeθɪks,ética
ethnic,ˈeθnɪk,etnia
European,yərəˈpēən(yuoropián),europeo
evaluate,ɪˈvæljʊeɪt,valorar
evaluation,ɪˌvæljʊˈeɪʃnn,evaluación
even,iːvən,"Incluso, aún"
evening,iv-ning,"Tarde, atardecer; noche"
event,event,"evento, suceso"
eventually,eˈventʃʊəlɪ,finalmente
ever,evəʳ,Siempre; nunca; alguna vez
every,evrɪ,Cada
everybody,evrɪbɒdɪ,Todos
everyday,ˈevrɪdeɪ,Todos los días
evil,ivl,"Maldad, diablo"
evolution,iːvəˈluːʃən,evolución
evolve,iˈvɒlv,evolucionar
exact,Exact,exacto
exactly,ɪgˈzæktlɪ,exactamente
exam,egˈzaem,examen
examination,ɪgˌzæmɪˈneɪʃən,"Examinación, análisis"
examine,ɪgˈzæmɪn,investigar
example,ezampl,ejemplo
exceed,ekˈsiːd,exceder
excellent,ˈeksələnt,excelente
except,exsépt,excepto
exception,ekˈsepʃnn,excepción
excessive,ekˈsesiv,excesivo
exchange,eksˈCHānj,"Intercambio, canje"
excited,Eksaited,"Excitado, emocionado"
excitement,Eksaitment,excitación
exciting,ekˈsītiNG,emocionante
exclude,eksˈkluːd,excluir
exclusive,eksˈkluːsiv,exclusivo
exclusively,eksˈkluːsɪvlɪ,exclusivamente
excuse,eksˈkjuːz,excusa
execute,ˈeksɪkjuːt,ejecutar
execution,ˈeksɪkjuːtʃnn,ejecución
